X,year,month,measure,day,value
1,2014,12,Max.TemperatureF,X1,64
2,2014,12,Mean.TemperatureF,X1,52
3,2014,12,Min.TemperatureF,X1,39
4,2014,12,Max.Dew.PointF,X1,46
5,2014,12,MeanDew.PointF,X1,40
6,2014,12,Min.DewpointF,X1,26
7,2014,12,Max.Humidity,X1,74
8,2014,12,Mean.Humidity,X1,63
9,2014,12,Min.Humidity,X1,52
10,2014,12,Max.Sea.Level.PressureIn,X1,30.45
11,2014,12,Mean.Sea.Level.PressureIn,X1,30.13
12,2014,12,Min.Sea.Level.PressureIn,X1,30.01
13,2014,12,Max.VisibilityMiles,X1,10
14,2014,12,Mean.VisibilityMiles,X1,10
15,2014,12,Min.VisibilityMiles,X1,10
16,2014,12,Max.Wind.SpeedMPH,X1,22
17,2014,12,Mean.Wind.SpeedMPH,X1,13
18,2014,12,Max.Gust.SpeedMPH,X1,29
19,2014,12,PrecipitationIn,X1,0.01
20,2014,12,CloudCover,X1,6
21,2014,12,Events,X1,Rain
22,2014,12,WindDirDegrees,X1,268
23,2015,1,Max.TemperatureF,X1,33
24,2015,1,Mean.TemperatureF,X1,28
25,2015,1,Min.TemperatureF,X1,22
26,2015,1,Max.Dew.PointF,X1,16
27,2015,1,MeanDew.PointF,X1,8
28,2015,1,Min.DewpointF,X1,5
29,2015,1,Max.Humidity,X1,53
30,2015,1,Mean.Humidity,X1,43
31,2015,1,Min.Humidity,X1,32
32,2015,1,Max.Sea.Level.PressureIn,X1,30.1
33,2015,1,Mean.Sea.Level.PressureIn,X1,30
34,2015,1,Min.Sea.Level.PressureIn,X1,29.92
35,2015,1,Max.VisibilityMiles,X1,10
36,2015,1,Mean.VisibilityMiles,X1,10
37,2015,1,Min.VisibilityMiles,X1,10
38,2015,1,Max.Wind.SpeedMPH,X1,23
39,2015,1,Mean.Wind.SpeedMPH,X1,14
40,2015,1,Max.Gust.SpeedMPH,X1,29
41,2015,1,PrecipitationIn,X1,0
42,2015,1,CloudCover,X1,3
43,2015,1,Events,X1,
44,2015,1,WindDirDegrees,X1,230
45,2015,2,Max.TemperatureF,X1,30
46,2015,2,Mean.TemperatureF,X1,21
47,2015,2,Min.TemperatureF,X1,12
48,2015,2,Max.Dew.PointF,X1,11
49,2015,2,MeanDew.PointF,X1,2
50,2015,2,Min.DewpointF,X1,-6
51,2015,2,Max.Humidity,X1,67
52,2015,2,Mean.Humidity,X1,48
53,2015,2,Min.Humidity,X1,29
54,2015,2,Max.Sea.Level.PressureIn,X1,30.16
55,2015,2,Mean.Sea.Level.PressureIn,X1,30.12
56,2015,2,Min.Sea.Level.PressureIn,X1,30.04
57,2015,2,Max.VisibilityMiles,X1,10
58,2015,2,Mean.VisibilityMiles,X1,10
59,2015,2,Min.VisibilityMiles,X1,10
60,2015,2,Max.Wind.SpeedMPH,X1,22
61,2015,2,Mean.Wind.SpeedMPH,X1,12
62,2015,2,Max.Gust.SpeedMPH,X1,29
63,2015,2,PrecipitationIn,X1,0
64,2015,2,CloudCover,X1,4
65,2015,2,Events,X1,
66,2015,2,WindDirDegrees,X1,289
67,2015,3,Max.TemperatureF,X1,30
68,2015,3,Mean.TemperatureF,X1,21
69,2015,3,Min.TemperatureF,X1,12
70,2015,3,Max.Dew.PointF,X1,27
71,2015,3,MeanDew.PointF,X1,16
72,2015,3,Min.DewpointF,X1,2
73,2015,3,Max.Humidity,X1,92
74,2015,3,Mean.Humidity,X1,66
75,2015,3,Min.Humidity,X1,40
76,2015,3,Max.Sea.Level.PressureIn,X1,30.71
77,2015,3,Mean.Sea.Level.PressureIn,X1,30.46
78,2015,3,Min.Sea.Level.PressureIn,X1,30.12
79,2015,3,Max.VisibilityMiles,X1,10
80,2015,3,Mean.VisibilityMiles,X1,6
81,2015,3,Min.VisibilityMiles,X1,1
82,2015,3,Max.Wind.SpeedMPH,X1,20
83,2015,3,Mean.Wind.SpeedMPH,X1,6
84,2015,3,Max.Gust.SpeedMPH,X1,23
85,2015,3,PrecipitationIn,X1,0.17
86,2015,3,CloudCover,X1,7
87,2015,3,Events,X1,Snow
88,2015,3,WindDirDegrees,X1,206
89,2015,4,Max.TemperatureF,X1,47
90,2015,4,Mean.TemperatureF,X1,39
91,2015,4,Min.TemperatureF,X1,30
92,2015,4,Max.Dew.PointF,X1,16
93,2015,4,MeanDew.PointF,X1,7
94,2015,4,Min.DewpointF,X1,1
95,2015,4,Max.Humidity,X1,40
96,2015,4,Mean.Humidity,X1,29
97,2015,4,Min.Humidity,X1,17
98,2015,4,Max.Sea.Level.PressureIn,X1,30.17
99,2015,4,Mean.Sea.Level.PressureIn,X1,29.99
100,2015,4,Min.Sea.Level.PressureIn,X1,29.79
101,2015,4,Max.VisibilityMiles,X1,10
102,2015,4,Mean.VisibilityMiles,X1,10
103,2015,4,Min.VisibilityMiles,X1,10
104,2015,4,Max.Wind.SpeedMPH,X1,21
105,2015,4,Mean.Wind.SpeedMPH,X1,10
106,2015,4,Max.Gust.SpeedMPH,X1,28
107,2015,4,PrecipitationIn,X1,0
108,2015,4,CloudCover,X1,1
109,2015,4,Events,X1,
110,2015,4,WindDirDegrees,X1,332
111,2015,5,Max.TemperatureF,X1,49
112,2015,5,Mean.TemperatureF,X1,44
113,2015,5,Min.TemperatureF,X1,39
114,2015,5,Max.Dew.PointF,X1,41
115,2015,5,MeanDew.PointF,X1,39
116,2015,5,Min.DewpointF,X1,37
117,2015,5,Max.Humidity,X1,92
118,2015,5,Mean.Humidity,X1,82
119,2015,5,Min.Humidity,X1,71
120,2015,5,Max.Sea.Level.PressureIn,X1,30.02
121,2015,5,Mean.Sea.Level.PressureIn,X1,30
122,2015,5,Min.Sea.Level.PressureIn,X1,29.97
123,2015,5,Max.VisibilityMiles,X1,10
124,2015,5,Mean.VisibilityMiles,X1,10
125,2015,5,Min.VisibilityMiles,X1,10
126,2015,5,Max.Wind.SpeedMPH,X1,17
127,2015,5,Mean.Wind.SpeedMPH,X1,8
128,2015,5,Max.Gust.SpeedMPH,X1,22
129,2015,5,PrecipitationIn,X1,0
130,2015,5,CloudCover,X1,6
131,2015,5,Events,X1,
132,2015,5,WindDirDegrees,X1,85
133,2015,6,Max.TemperatureF,X1,49
134,2015,6,Mean.TemperatureF,X1,48
135,2015,6,Min.TemperatureF,X1,47
136,2015,6,Max.Dew.PointF,X1,48
137,2015,6,MeanDew.PointF,X1,47
138,2015,6,Min.DewpointF,X1,46
139,2015,6,Max.Humidity,X1,100
140,2015,6,Mean.Humidity,X1,97
141,2015,6,Min.Humidity,X1,93
142,2015,6,Max.Sea.Level.PressureIn,X1,30.27
143,2015,6,Mean.Sea.Level.PressureIn,X1,30.25
144,2015,6,Min.Sea.Level.PressureIn,X1,30.23
145,2015,6,Max.VisibilityMiles,X1,6
146,2015,6,Mean.VisibilityMiles,X1,3
147,2015,6,Min.VisibilityMiles,X1,2
148,2015,6,Max.Wind.SpeedMPH,X1,21
149,2015,6,Mean.Wind.SpeedMPH,X1,14
150,2015,6,Max.Gust.SpeedMPH,X1,26
151,2015,6,PrecipitationIn,X1,0.38
152,2015,6,CloudCover,X1,8
153,2015,6,Events,X1,Rain
154,2015,6,WindDirDegrees,X1,43
155,2015,7,Max.TemperatureF,X1,82
156,2015,7,Mean.TemperatureF,X1,72
157,2015,7,Min.TemperatureF,X1,62
158,2015,7,Max.Dew.PointF,X1,68
159,2015,7,MeanDew.PointF,X1,64
160,2015,7,Min.DewpointF,X1,60
161,2015,7,Max.Humidity,X1,100
162,2015,7,Mean.Humidity,X1,78
163,2015,7,Min.Humidity,X1,55
164,2015,7,Max.Sea.Level.PressureIn,X1,29.93
165,2015,7,Mean.Sea.Level.PressureIn,X1,29.78
