id,title,release_year,country,duration,language,certification,gross,budget
1,Intolerance: Love's Struggle Throughout the Ages,1916,USA,123,NA,Not Rated,NA,385907.0
2,Over the Hill to the Poorhouse,1920,USA,110,NA,NA,3000000,1e5
3,The Big Parade,1925,USA,151,NA,Not Rated,NA,245e3
4,Metropolis,1927,Germany,145,German,Not Rated,26435,6e6
5,Pandora's Box,1929,Germany,110,German,Not Rated,9950,NA
6,The Broadway Melody,1929,USA,100,English,Passed,2808000,379e3
7,Hell's Angels,1930,USA,96,English,Passed,NA,395e4
8,A Farewell to Arms,1932,USA,79,English,Unrated,NA,8e5
9,42nd Street,1933,USA,89,English,Unrated,2300000,439e3
10,She Done Him Wrong,1933,USA,66,English,Approved,NA,2e5
11,It Happened One Night,1934,USA,65,English,Unrated,NA,325e3
12,Top Hat,1935,USA,81,English,Approved,3000000,609e3
13,Modern Times,1936,USA,87,English,G,163245,15e5
14,The Charge of the Light Brigade,1936,USA,100,English,Approved,NA,12e5
15,Snow White and the Seven Dwarfs,1937,USA,83,English,Approved,184925485,2e6
16,The Prisoner of Zenda,1937,USA,101,English,Approved,NA,NA
17,Alexander's Ragtime Band,1938,USA,106,English,Approved,NA,2e6
18,You Can't Take It with You,1938,USA,126,English,Approved,NA,1644736.0
19,Gone with the Wind,1939,USA,226,English,G,198655278,3977e3
20,Mr. Smith Goes to Washington,1939,USA,120,English,Not Rated,NA,15e5
21,The Wizard of Oz,1939,USA,102,English,Passed,22202612,28e5
22,Boom Town,1940,USA,119,English,Passed,NA,1614e3
23,Fantasia,1940,USA,120,English,G,76400000,228e4
24,Pinocchio,1940,USA,88,English,Approved,84300000,26e5
25,Rebecca,1940,USA,130,English,Not Rated,NA,1288e3
26,The Blue Bird,1940,USA,83,English,Approved,NA,NA
27,How Green Was My Valley,1941,USA,118,English,Approved,NA,125e4
28,Bambi,1942,USA,70,English,Approved,102797150,NA
29,Casablanca,1942,USA,82,English,PG,NA,95e4
30,A Guy Named Joe,1943,USA,122,English,Passed,NA,2627e3
31,Bathing Beauty,1944,USA,101,English,Passed,NA,2361e3
32,Spellbound,1945,USA,95,English,Unrated,NA,1696377.0
33,State Fair,1945,USA,100,English,Approved,NA,NA
34,The Lost Weekend,1945,USA,101,English,Not Rated,NA,125e4
35,The Valley of Decision,1945,USA,119,English,Passed,NA,216e4
36,Duel in the Sun,1946,USA,144,English,Unrated,20400000,8e6
37,It's a Wonderful Life,1946,USA,118,English,PG,NA,318e4
38,The Best Years of Our Lives,1946,USA,172,English,Not Rated,23650000,21e5
39,Gentleman's Agreement,1947,USA,118,English,Approved,NA,2e6
40,The Lady from Shanghai,1947,USA,92,English,Not Rated,7927,23e5
41,Tycoon,1947,USA,95,English,Approved,NA,3209e3
42,Open Secret,1948,USA,68,English,Approved,NA,NA
43,Red River,1948,USA,126,English,Approved,NA,3e6
44,The Pirate,1948,USA,102,English,Approved,2956000,37e5
45,Sands of Iwo Jima,1949,USA,109,English,Approved,NA,1e6
46,She Wore a Yellow Ribbon,1949,USA,103,English,Unrated,NA,16e5
47,Annie Get Your Gun,1950,USA,107,English,Passed,8000000,3768785.0
48,A Streetcar Named Desire,1951,USA,125,English,PG,NA,18e5
49,Quo Vadis,1951,USA,171,English,Passed,NA,7623e3
50,Show Boat,1951,USA,108,English,Approved,NA,2295429.0
51,Deadline - U.S.A.,1952,USA,87,English,NA,NA,NA
52,High Noon,1952,USA,85,English,PG,NA,75e4
