id,film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
1,3934,588,432,7.1,203461,46000
2,3405,285,267,6.4,149998,0
3,478,65,29,3.2,8465,491
4,74,83,25,7.6,7071,930
5,1254,1437,224,8.0,241030,13000
6,740,111,64,6.4,64742,0
7,4841,1058,579,8.1,479047,117000
8,2869,59,104,6.8,18442,689
9,3252,117,160,7.2,49855,10000
10,1181,163,99,7.3,16995,0
11,2020,402,145,6.7,91092,0
12,4152,371,359,5.9,108242,39000
13,3220,62,64,6.2,15780,2000
14,2312,251,161,5.8,63912,912
15,1820,113,41,7.0,8535,872
16,718,85,43,6.4,76850,1000
17,831,107,65,6.6,40126,975
18,1231,226,113,6.5,26034,0
19,1746,125,71,6.6,17261,455
20,3508,43,10,5.3,8598,250
21,1621,181,93,6.0,44913,3000
22,3197,143,128,4.8,33088,0
23,4464,5,10,4.8,241,261
24,3929,7,39,7.1,774,590
25,2183,18,33,4.5,3119,151
26,3298,53,83,7.4,6091,0
27,2392,156,111,5.0,51252,621
28,978,41,29,6.1,22748,666
29,3176,148,222,6.6,55597,4000
30,272,60,25,6.1,18140,855
31,2414,69,87,6.3,10052,0
32,2873,65,121,5.9,8867,0
33,2744,88,117,7.4,46076,11000
34,4013,8,13,5.4,133,424
35,4707,440,465,7.4,232187,47000
36,4592,34,59,5.3,5693,0
37,2379,90,34,6.6,19336,0
38,848,57,31,6.7,8531,591
39,308,134,52,6.9,48629,0
40,4210,111,217,6.9,31898,0
41,1492,377,131,6.6,52244,0
42,3879,55,162,7.3,15600,0
43,4094,150,239,6.8,47954,11000
44,3319,120,124,5.4,31191,0
45,302,152,75,6.2,31260,0
46,3854,316,481,7.6,148221,51000
47,1522,431,142,6.4,200260,0
48,1491,119,47,3.6,2855,663
49,1526,12,15,7.6,341,379
50,4501,37,129,6.6,8307,5000
51,143,64,15,7.0,3454,548
52,1048,207,78,5.9,6082,853
53,1943,866,301,8.2,692482,11000
54,877,98,43,6.1,13949,453
55,4362,NA,NA,4.3,28,17
56,2577,306,171,5.8,50170,773
57,3760,150,206,6.7,46813,12000
58,2331,43,38,7.3,6454,0
59,1762,10,8,5.8,191,7
60,3042,109,127,4.9,31640,791
61,2226,129,32,1.9,25371,0
62,2239,4,16,7.4,352,44
63,4769,110,224,5.8,28429,0
64,3016,1,5,7.4,59,18
65,783,283,72,5.8,81783,0
66,2676,238,173,5.5,32671,0
67,2471,214,112,7.1,30210,0
68,1379,498,169,7.3,135246,0
69,4442,343,292,7.9,221128,46000
70,2118,1624,287,7.9,361169,18000
71,4922,781,275,7.3,111609,89000
72,560,148,49,6.6,62037,0
73,2949,76,121,6.5,16224,830
74,4173,79,143,5.2,7384,0
75,2576,108,94,7.1,28068,0
76,1015,28,12,5.8,1686,161
77,3209,30,8,3.1,851,128
78,2094,69,50,5.7,10104,265
79,788,88,56,7.5,11612,0
80,1622,123,81,6.2,25572,2000
81,578,391,196,7.5,240241,0
82,368,152,84,7.1,71842,0
83,2274,148,118,6.2,17373,767
84,4516,1,6,7.4,70,45
85,1835,101,64,5.3,14315,201
86,1575,102,34,6.2,42644,0
87,671,31,12,5.9,8904,0
88,4714,186,256,5.8,39975,24000
89,3014,590,318,6.4,343648,0
90,1354,433,151,7.7,98354,0
91,1351,254,125,6.0,81888,0
92,2888,103,53,5.3,6267,368
93,1572,268,135,6.9,30339,0
94,4724,4,5,5.9,917,224
95,269,55,24,8.4,9852,0
96,613,319,81,7.6,181879,0
97,730,282,63,3.8,53115,0
98,1933,185,109,5.8,34942,1000
99,703,39,25,6.9,6011,905
100,3098,274,245,7.5,55842,13000
101,1577,207,83,6.2,19986,892
102,1733,350,167,6.5,57281,0
103,3149,52,33,4.8,4790,804
104,2635,441,163,5.7,65551,0
105,4314,42,68,8.1,6678,0
106,1655,43,52,6.3,3198,478
107,3700,411,436,6.6,180479,42000
108,4954,20,4,7.6,437,450
109,3619,17,4,3.6,912,502
110,3653,187,122,3.5,39095,16000
111,3318,42,113,7.8,7630,0
112,1792,40,32,4.5,5312,939
113,2179,1106,268,8.1,482064,14000
114,528,291,129,4.5,22961,1000
115,1934,116,81,5.5,49486,886
116,1686,121,75,5.3,15427,449
117,1078,109,48,6.9,36108,0
118,1263,123,74,6.7,22250,913
119,2470,232,168,7.4,43205,0
120,2863,626,318,8.0,473887,10000
121,4150,7,26,7.7,2112,0
122,35,29,7,7.5,1314,68
123,1662,131,56,5.3,7319,327
124,1320,696,203,7.3,137891,0
125,3590,86,138,6.2,47297,16000
126,3856,197,267,6.0,75864,23000
127,4246,233,354,7.6,76094,37000
128,420,95,59,5.0,30215,0
129,2944,34,90,6.9,3571,429
130,3222,174,167,6.2,60555,0
131,4634,322,343,7.0,103737,56000
132,1673,294,98,5.9,77684,0
133,2998,45,99,7.0,14301,0
134,1968,354,138,5.3,18632,656
135,2280,251,62,5.4,98794,0
136,4006,174,256,7.3,123553,25000
137,3955,110,332,7.1,29440,12000
138,4799,1,5,6.5,354,34
139,3165,39,76,5.3,10791,464
140,600,80,61,7.1,15103,2000
141,2144,978,205,7.6,187595,0
142,1885,568,176,6.4,86504,0
143,3377,69,147,5.7,19157,0
144,1935,369,140,4.9,25870,2000
145,2049,30,17,7.2,3480,396
146,4452,289,313,6.2,99035,17000
147,2444,1100,342,7.2,154938,10000
148,1443,346,149,7.3,43135,0
149,3642,733,453,8.3,544884,30000
150,4542,185,180,7.3,52894,55000
151,3733,230,272,6.1,37495,37000
152,1226,186,129,7.3,27543,607
153,4144,10,10,7.9,53,33
154,4746,4080,828,8.1,644227,1364147
155,759,92,26,6.0,85903,0
156,1527,81,41,6.4,9566,1000
157,326,211,127,6.9,29935,0
158,3178,6,3,6.3,397,143
159,1806,1331,252,7.7,399651,0
160,2804,235,84,7.5,52533,10000
161,1236,140,107,6.0,5442,339
162,328,515,215,7.9,281842,34000
163,4721,29,36,5.1,4099,0
164,1541,100,62,4.6,10966,365
